Rank,title,AuthorName,Language,Price_normal,Id
3627,Value Proposition Design,Alex Osterwalder,Dansk,159.95,9788799840717
3628,Kvinden i buret,Jussi Adler-Olsen,Dansk,139.95,9788740003826
3629,Flaskepost fra P,Jussi Adler-Olsen,Dansk,139.95,9788740006377
3630,BLONDINENS BETRAGTNINGER,Helle Thorning-Schmidt,Dansk,199.95,9788793982437
3631,I sønnens navn,Allan Erik Mortensen,Dansk,159.95,9788770306423
3632,Den onde lykke,Tove Ditlevsen,Dansk,49.95,9788702203493
3633,Demokrati har brug for religion,Hartmut Rosa,Dansk,89.95,9788741009704
3634,True Love at the Lonely Hearts Bookshop,Annie Darling,Engelsk,84.95,9780008173159
3635,Dreaming of You,Lisa Kleypas,Engelsk,47.44,9780061743511
3636,Written in the Stars,Alexandria Bellefleur,Engelsk,29.95,9780063000810
3637,Woodwork,DK,Engelsk,111.74,9780241456279
3638,Berlin Game,Len Deighton,Engelsk,84.95,9780241505151
3639,Woodwork Step by Step,DK,Engelsk,65.14,9780241523353
3640,Discipline and Punish,Michel Foucault,Engelsk,96.76,9780307819291
3641,Home From Home,George Alagiah,Engelsk,37.19,9780349142647
3642,Devil in Disguise,Lisa Kleypas,Engelsk,29.95,9780349407739
3643,Olympian Affair,,Engelsk,130.38,9780356503639
3644,Wise Man's Fear,Patrick Rothfuss,Engelsk,60.49,9780575088078
3645,"Happiness, Pleasure, Joy, Bliss",Osho,Engelsk,24.95,9780880500609
3646,World of Emotions,Osho,Engelsk,24.95,9780880500692
3647,48 Laws of Power,Robert Greene,Engelsk,205.89,9781101042458
3648,Allen Carr's Easy Way to Quit Vaping,Allen Carr,Engelsk,71.21,9781398808423
3649,Get Started in Swedish Absolute Beginner Course,Ivo Holmqvist,Engelsk,102.42,9781444175455
3650,Worlds of Exile and Illusion,Ursula K. Le Guin,Engelsk,55.83,9781473205833
3651,Cracking Complexity,David Benjamin,Engelsk,37.19,9781473685659
3652,Slough House,Mick Herron,Engelsk,51.17,9781529378672
3653,Should I Stay or Should I Go?: Surviving a Relationship with a Narcissist,Ramani Durvasula,,94.95,9781618688774
3654,Under vejr med mig selv,Klaus Rifbjerg,Dansk,49.95,9788702161175
3655,"Mio, min Mio",Astrid Lindgren,Dansk,49.95,9788702170665
3656,Erotisk intelligens,Esther Perel,Dansk,49.95,9788702182934
3657,Vitello. 28 historier fra A til Å - Lyt&Læs,Kim Fupz Aakeson,Dansk,49.95,9788702227451
3658,Essays. Hemmelighedstilstanden / Del af labyrinten,Inger Christensen,Dansk,79.95,9788702278217
3659,Din grønne rejse - en sund og stærk krop med plantebaseret kost,Louise Bruun,Dansk,129.95,9788702333435
3660,Blodets meridian,Cormac McCarthy,Dansk,129.95,9788702385427
3661,Rogn,Klavs Styrbæk,Dansk,159.95,9788702392029
3662,Fortolkning til de gammeltestamentlige Salmer,Aage Bentzen,Dansk,149.95,9788711638880
3663,Typiske sproglige fejl,Louise Fischer-Nielsen,Dansk,69.95,9788711924723
3664,Den uskyldige,Harlan Coben,Dansk,119.95,9788712053392
3665,Skolenisserne,Hans Christian Hansen,Dansk,49.95,9788726063790
3666,Homers Iliade,– Homer,Dansk,99.95,9788726066371
3667,Sports-quiz for hele familien,Frits Ahlstrøm,Dansk,69.95,9788726097832
3668,Lucija i Ema slave svoje rodendane,Line Kyed Knudsen,,9.95,9788726250916
3669,Plantefarverens ABC,Ingeborg Mule Henningsen,Dansk,49.95,9788726405781
3670,Få mere lyst,Jesper Bay-Hansen,Dansk,99.95,9788726785845
3671,"Alt det, vi ikke ser",Annasophia Petri Holm,Dansk,179.95,9788727022352
3672,Syv dage med Sense,Ida holm,Dansk,79.95,9788740053555
3673,Dansk-Russisk Tvillinge Ordbog,Irina Bjørnø ,Dansk,50.0,9788740402612
3674,Investering for nybegyndere,Carsten Rasmussen,Dansk,99.95,9788740410389
3675,Nissehistorie Anno 2013,Malene Rønnow Jønsson,Dansk,9.95,9788740413465
3676,"Behov, Indsats, Takst",Anne Brorson,Dansk,179.95,9788740494693
3677,"""Og døden indtraf 16.08.""",Signe Madeleine Kold,Dansk,94.95,9788743007104
3678,Logisk set,Peter Øhrstrøm,Dansk,64.95,9788743063797
3679,"SKAM Sæson 1, Eva",Julie Andem,Dansk,79.95,9788763861564
3680,Uren pædagogik,Svend Brinkmann,Dansk,219.95,9788771299182
3681,Karl Stegger,Peer Kaae,Dansk,149.95,9788771591262
3682,Naturens Lederskab,Eva Ritter Jens Larsen,Dansk,69.95,9788771965292
3683,Interpretive Description,Charlotte Handberg,Dansk,159.95,9788772196626
